image,tp(v+),fp(f+),fn(f-),vn(v-)
AisazuNihaIrarenai_001_L.jpg,3,3,0,0
AisazuNihaIrarenai_001_R.jpg,22,0,0,0
AisazuNihaIrarenai_002_L.jpg,7,10,0,0
AisazuNihaIrarenai_002_R.jpg,9,20,0,0
AisazuNihaIrarenai_003_L.jpg,6,16,0,0
AisazuNihaIrarenai_003_R.jpg,10,15,0,0
AisazuNihaIrarenai_004_L.jpg,11,12,0,0
AisazuNihaIrarenai_004_R.jpg,8,18,0,0
AisazuNihaIrarenai_005_L.jpg,17,14,0,0
AisazuNihaIrarenai_005_R.jpg,16,18,0,0
AkkeraKanjinchou_003_L.jpg,10,27,0,0
AkkeraKanjinchou_003_R.jpg,10,14,1,0
AkkeraKanjinchou_004_L.jpg,14,10,1,0
AkkeraKanjinchou_004_R.jpg,10,5,0,0
AkkeraKanjinchou_005_L.jpg,12,5,1,0
AkkeraKanjinchou_005_R.jpg,11,10,0,0
AkkeraKanjinchou_006_L.jpg,6,10,2,0
AkkeraKanjinchou_006_R.jpg,11,11,0,0
AkkeraKanjinchou_007_L.jpg,11,7,2,0
AkkeraKanjinchou_007_R.jpg,13,15,2,0
Arisa_003_L.jpg,11,12,1,0
Arisa_003_R.jpg,8,3,0,0
Arisa_004_L.jpg,15,6,1,0
Arisa_004_R.jpg,7,8,0,0
ARMS_022_L.jpg,7,6,1,0
ARMS_022_R.jpg,1,3,0,0
ARMS_023_L.jpg,8,16,1,0
ARMS_023_R.jpg,18,3,2,0
ARMS_024_L.jpg,12,10,1,0
ARMS_024_R.jpg,6,18,0,0
ARMS_025_L.jpg,10,10,2,0
ARMS_025_R.jpg,22,13,1,0
BurariTessenTorimonocho_002_L.jpg,13,4,0,0
BurariTessenTorimonocho_002_R.jpg,3,3,0,0
BurariTessenTorimonocho_003_L.jpg,3,19,0,0
BurariTessenTorimonocho_003_R.jpg,11,7,0,0
BurariTessenTorimonocho_004_L.jpg,10,13,0,0
BurariTessenTorimonocho_004_R.jpg,8,8,0,0
EvaLady_002_L.jpg,6,13,1,0
EvaLady_002_R.jpg,11,3,0,0
EvaLady_003_L.jpg,3,15,2,0
EvaLady_003_R.jpg,8,2,0,0
Hamlet_009_L.jpg,16,11,0,0
Hamlet_009_R.jpg,12,14,0,0
Hamlet_010_L.jpg,9,7,0,0
Hamlet_010_R.jpg,5,9,0,0
Hamlet_011_L.jpg,6,8,0,0
Hamlet_011_R.jpg,10,9,0,0
MemorySeijin_015_L.jpg,5,9,0,0
MemorySeijin_015_R.jpg,4,8,0,0
MemorySeijin_016_L.jpg,0,6,0,0
MemorySeijin_016_R.jpg,0,3,0,0
MemorySeijin_017_L.jpg,3,13,2,0
MemorySeijin_017_R.jpg,7,20,0,0
