image,tp(v+),fp(f+),fn(f-),vn(v-)
AisazuNihaIrarenai_001_L.jpg,3,0,0,0
AisazuNihaIrarenai_001_R.jpg,5,5,5,0
AisazuNihaIrarenai_002_L.jpg,5,2,1,0
AisazuNihaIrarenai_002_R.jpg,6,5,4,0
AisazuNihaIrarenai_003_L.jpg,5,6,2,0
AisazuNihaIrarenai_003_R.jpg,5,4,7,0
AisazuNihaIrarenai_004_L.jpg,10,3,5,0
AisazuNihaIrarenai_004_R.jpg,4,2,2,0
AisazuNihaIrarenai_005_L.jpg,13,3,8,0
AisazuNihaIrarenai_005_R.jpg,16,6,9,0
AkkeraKanjinchou_003_L.jpg,8,4,10,0
AkkeraKanjinchou_003_R.jpg,6,2,5,0
AkkeraKanjinchou_004_L.jpg,6,2,10,0
AkkeraKanjinchou_004_R.jpg,7,2,5,0
AkkeraKanjinchou_005_L.jpg,8,3,10,0
AkkeraKanjinchou_005_R.jpg,9,1,5,0
AkkeraKanjinchou_006_L.jpg,5,1,5,0
AkkeraKanjinchou_006_R.jpg,9,1,4,0
AkkeraKanjinchou_007_L.jpg,6,1,7,0
AkkeraKanjinchou_007_R.jpg,10,3,9,0
Arisa_003_L.jpg,12,0,4,0
Arisa_003_R.jpg,5,2,4,0
Arisa_004_L.jpg,12,3,7,0
Arisa_004_R.jpg,7,1,4,0
ARMS_022_L.jpg,8,2,4,0
ARMS_022_R.jpg,1,1,1,0
ARMS_023_L.jpg,5,2,5,0
ARMS_023_R.jpg,6,2,17,0
ARMS_024_L.jpg,10,1,7,0
ARMS_024_R.jpg,6,1,2,0
ARMS_025_L.jpg,8,1,6,0
ARMS_025_R.jpg,16,0,14,0
BurariTessenTorimonocho_002_L.jpg,11,0,6,0
BurariTessenTorimonocho_002_R.jpg,3,3,2,0
BurariTessenTorimonocho_003_L.jpg,3,0,0,0
BurariTessenTorimonocho_003_R.jpg,10,7,4,0
BurariTessenTorimonocho_004_L.jpg,10,1,4,0
BurariTessenTorimonocho_004_R.jpg,8,0,3,0
EvaLady_002_L.jpg,5,1,4,0
EvaLady_002_R.jpg,10,0,3,0
EvaLady_003_L.jpg,3,5,5,0
EvaLady_003_R.jpg,8,2,4,0
Hamlet_009_L.jpg,11,1,8,0
Hamlet_009_R.jpg,12,2,6,0
Hamlet_010_L.jpg,6,1,5,0
Hamlet_010_R.jpg,3,3,2,0
Hamlet_011_L.jpg,4,3,4,0
Hamlet_011_R.jpg,7,1,10,0
MemorySeijin_015_L.jpg,3,0,4,0
MemorySeijin_015_R.jpg,3,4,1,0
MemorySeijin_016_L.jpg,0,1,0,0
MemorySeijin_016_R.jpg,0,0,0,0
MemorySeijin_017_L.jpg,3,6,2,0
MemorySeijin_017_R.jpg,2,6,4,0
