image,tp(v+),fp(f+),fn(f-),tn(v-)
AisazuNihaIrarenai_001.jpg,0,0,3,0
AisazuNihaIrarenai_002.jpg,16,0,1,0
AisazuNihaIrarenai_003.jpg,14,0,4,0
AisazuNihaIrarenai_004.jpg,15,0,1,0
AisazuNihaIrarenai_005.jpg,32,0,0,0
AkkeraKanjinchou_003.jpg,18,2,0,0
AkkeraKanjinchou_004.jpg,21,0,0,0
AkkeraKanjinchou_005.jpg,21,0,0,0
AkkeraKanjinchou_006.jpg,19,0,0,0
AkkeraKanjinchou_007.jpg,26,1,0,0
Arisa_003.jpg,18,0,0,0
Arisa_004.jpg,17,0,0,0
ARMS_022.jpg,7,0,1,0
ARMS_023.jpg,26,0,0,0
ARMS_024.jpg,16,0,2,0
ARMS_025.jpg,33,0,1,0
BurariTessenTorimonocho_002.jpg,15,0,1,0
BurariTessenTorimonocho_003.jpg,14,0,0,0
BurariTessenTorimonocho_004.jpg,18,0,1,0
EvaLady_002.jpg,16,0,1,0
EvaLady_003.jpg,11,0,1,0
Hamlet_009.jpg,24,0,0,0
Hamlet_010.jpg,12,0,0,0
Hamlet_011.jpg,15,0,0,0
MemorySeijin_015.jpg,5,0,4,0
MemorySeijin_016.jpg,1,0,0,0
MemorySeijin_017.jpg,10,0,0,0
