image,tp(v+),fp(f+),fn(f-),tn(v-)
AisazuNihaIrarenai_001_L.jpg,0,0,3,0
AisazuNihaIrarenai_001_R.jpg,0,0,1,0
AisazuNihaIrarenai_002_L.jpg,6,0,0,0
AisazuNihaIrarenai_002_R.jpg,9,0,0,0
AisazuNihaIrarenai_003_L.jpg,5,0,0,0
AisazuNihaIrarenai_003_R.jpg,7,0,1,0
AisazuNihaIrarenai_004_L.jpg,11,0,1,0
AisazuNihaIrarenai_004_R.jpg,6,0,0,0
AisazuNihaIrarenai_005_L.jpg,15,0,0,0
AisazuNihaIrarenai_005_R.jpg,17,1,0,0
AkkeraKanjinchou_003_L.jpg,10,2,0,0
AkkeraKanjinchou_003_R.jpg,9,0,0,0
AkkeraKanjinchou_004_L.jpg,12,0,0,0
AkkeraKanjinchou_004_R.jpg,10,1,0,0
AkkeraKanjinchou_005_L.jpg,10,0,0,0
AkkeraKanjinchou_005_R.jpg,12,0,0,0
AkkeraKanjinchou_006_L.jpg,7,1,0,0
AkkeraKanjinchou_006_R.jpg,11,0,0,0
AkkeraKanjinchou_007_L.jpg,11,0,0,0
AkkeraKanjinchou_007_R.jpg,16,0,0,0
Arisa_003_L.jpg,10,0,0,0
Arisa_003_R.jpg,6,0,0,0
Arisa_004_L.jpg,10,0,0,0
Arisa_004_R.jpg,7,0,0,0
ARMS_022_L.jpg,4,0,0,0
ARMS_022_R.jpg,1,0,0,0
ARMS_023_L.jpg,6,0,0,0
ARMS_023_R.jpg,17,0,0,0
ARMS_024_L.jpg,8,0,1,0
ARMS_024_R.jpg,5,0,0,0
ARMS_025_L.jpg,9,1,0,0
ARMS_025_R.jpg,15,0,0,0
BurariTessenTorimonocho_002_L.jpg,8,0,0,0
BurariTessenTorimonocho_002_R.jpg,2,0,1,0
BurariTessenTorimonocho_003.jpg,14,0,0,0
BurariTessenTorimonocho_004_L.jpg,9,0,0,0
BurariTessenTorimonocho_004_R.jpg,5,1,0,0
EvaLady_002_L.jpg,9,0,0,0
EvaLady_002_R.jpg,9,0,0,0
EvaLady_003_L.jpg,4,0,1,0
EvaLady_003_R.jpg,9,1,0,0
Hamlet_009_L.jpg,13,0,0,0
Hamlet_009_R.jpg,10,0,0,0
Hamlet_010_L.jpg,8,1,1,0
Hamlet_010_R.jpg,3,0,0,0
Hamlet_011_L.jpg,6,0,0,0
Hamlet_011_R.jpg,10,1,0,0
MemorySeijin_015_L.jpg,2,0,0,0
MemorySeijin_015_R.jpg,3,0,0,0
MemorySeijin_016_L.jpg,0,0,0,0
MemorySeijin_016_R.jpg,0,0,0,0
MemorySeijin_017_L.jpg,5,0,0,0
MemorySeijin_017_R.jpg,5,0,0,0
