Arquivo,TP_v8Seg,FP_v8Seg,FN_v8Seg,TP_1024,FP_1024,FN_1024
ARMS_022_L_raw_debug.png,0,3,6,4,0,1
ARMS_022_R_raw_debug.png,0,1,4,1,0,0
ARMS_023_L_raw_debug.png,0,2,6,6,0,0
ARMS_023_R_raw_debug.png,0,9,18,18,0,0
ARMS_024_L_raw_debug.png,0,1,10,8,0,0
ARMS_024_R_raw_debug.png,0,4,6,5,0,0
ARMS_025_L_raw_debug.png,0,2,10,8,0,1
ARMS_025_R_raw_debug.png,0,0,16,16,0,0
AisazuNihaIrarenai_001_L_raw_debug.png,0,0,3,0,1,0
AisazuNihaIrarenai_001_R_raw_debug.png,0,0,1,0,1,0
AisazuNihaIrarenai_002_L_raw_debug.png,0,0,6,6,0,0
AisazuNihaIrarenai_002_R_raw_debug.png,0,0,9,8,0,1
AisazuNihaIrarenai_003_L_raw_debug.png,0,0,6,6,0,0
AisazuNihaIrarenai_003_R_raw_debug.png,0,0,8,8,0,1
AisazuNihaIrarenai_004_L_raw_debug.png,0,0,12,11,0,1
AisazuNihaIrarenai_004_R_raw_debug.png,0,0,6,6,0,0
AisazuNihaIrarenai_005_L_raw_debug.png,0,9,17,15,0,0
AisazuNihaIrarenai_005_R_raw_debug.png,0,0,15,15,0,0
AkkeraKanjinchou_003_L_raw_debug.png,0,4,10,10,2,0
AkkeraKanjinchou_003_R_raw_debug.png,0,1,9,9,0,0
AkkeraKanjinchou_004_L_raw_debug.png,0,4,12,12,0,0
AkkeraKanjinchou_004_R_raw_debug.png,0,2,10,10,0,0
AkkeraKanjinchou_005_L_raw_debug.png,0,4,9,11,0,0
AkkeraKanjinchou_005_R_raw_debug.png,0,6,12,12,0,0
AkkeraKanjinchou_006_L_raw_debug.png,0,1,8,7,0,1
AkkeraKanjinchou_006_R_raw_debug.png,0,5,11,11,0,0
AkkeraKanjinchou_007_L_raw_debug.png,0,2,11,11,1,0
AkkeraKanjinchou_007_R_raw_debug.png,0,4,15,15,1,0
Arisa_003_L_raw_debug.png,0,3,10,10,0,0
Arisa_003_R_raw_debug.png,0,0,6,6,0,0
Arisa_004_L_raw_debug.png,0,1,11,11,0,0
Arisa_004_R_raw_debug.png,0,0,7,7,0,1
BurariTessenTorimonocho_002_L_raw_debug.png,0,3,8,8,0,0
BurariTessenTorimonocho_002_R_raw_debug.png,0,1,3,3,0,0
BurariTessenTorimonocho_003_raw_debug.png,0,5,13,14,0,0
BurariTessenTorimonocho_004_L_raw_debug.png,0,0,9,9,0,0
BurariTessenTorimonocho_004_R_raw_debug.png,0,1,7,6,1,0
EvaLady_002_L_raw_debug.png,0,0,6,6,0,0
EvaLady_002_R_raw_debug.png,0,1,9,8,0,1
EvaLady_003_L_raw_debug.png,0,1,4,4,0,0
EvaLady_003_R_raw_debug.png,0,1,8,8,0,0
Hamlet_009_L_raw_debug.png,0,1,14,13,0,1
Hamlet_009_R_raw_debug.png,0,0,12,10,0,1
Hamlet_010_L_raw_debug.png,0,0,9,7,0,2
Hamlet_010_R_raw_debug.png,0,0,4,3,0,1
Hamlet_011_L_raw_debug.png,0,0,7,6,0,1
Hamlet_011_R_raw_debug.png,0,1,9,9,0,0
MemorySeijin_015_L_raw_debug.png,0,0,2,2,0,0
MemorySeijin_015_R_raw_debug.png,0,1,3,3,0,0
MemorySeijin_016_L_raw_debug.png,0,1,1,1,0,0
MemorySeijin_016_R_raw_debug.png,0,0,0,0,0,0
MemorySeijin_017_L_raw_debug.png,0,2,5,5,0,0
MemorySeijin_017_R_raw_debug.png,0,1,4,4,0,0
