Arquivo,TP_EASY,FP_EASY,FN__EASY,TP_PADDLE,FP_PADDLE,FN_PADDLE,TP_YOLO_1024,FP_YOLO_1024,FN_YOLO_1024
AisazuNihaIrarenai_001_L,3,3,0,3,0,0,0,1,0
AisazuNihaIrarenai_001_R,22,0,0,5,5,5,0,1,0
AisazuNihaIrarenai_002_L,7,10,0,5,2,1,6,0,0
AisazuNihaIrarenai_002_R,9,20,0,6,5,4,8,0,1
AisazuNihaIrarenai_003_L,6,16,0,5,6,2,6,0,0
AisazuNihaIrarenai_003_R,10,15,0,5,4,7,8,0,1
AisazuNihaIrarenai_004_L,11,12,0,10,3,5,11,0,1
AisazuNihaIrarenai_004_R,8,18,0,4,2,2,6,0,0
AisazuNihaIrarenai_005_L,17,14,0,13,3,8,15,0,0
AisazuNihaIrarenai_005_R,16,18,0,16,6,9,15,0,0
AkkeraKanjinchou_003_L,10,27,0,8,4,10,10,2,0
AkkeraKanjinchou_003_R,10,14,1,6,2,5,9,0,0
AkkeraKanjinchou_004_L,14,10,1,6,2,10,12,0,0
AkkeraKanjinchou_004_R,10,5,0,7,2,5,10,0,0
AkkeraKanjinchou_005_L,12,5,1,8,3,10,11,0,0
AkkeraKanjinchou_005_R,11,10,0,9,1,5,12,0,0
AkkeraKanjinchou_006_L,6,10,2,5,1,5,7,0,1
AkkeraKanjinchou_006_R,11,11,0,9,1,4,11,0,0
AkkeraKanjinchou_007_L,11,7,2,6,1,7,11,1,0
AkkeraKanjinchou_007_R,13,15,2,10,3,9,15,1,0
Arisa_003_L,11,12,1,12,0,4,10,0,0
Arisa_003_R,8,3,0,5,2,4,6,0,0
Arisa_004_L,15,6,1,12,3,7,11,0,0
Arisa_004_R,7,8,0,7,1,4,7,0,1
ARMS_022_L,7,6,1,8,2,4,4,0,1
ARMS_022_R,1,3,0,1,1,1,1,0,0
ARMS_023_L,8,16,1,5,2,5,6,0,0
ARMS_023_R,18,3,2,6,2,17,18,0,0
ARMS_024_L,12,10,1,10,1,7,8,0,0
ARMS_024_R,6,18,0,6,1,2,5,0,0
ARMS_025_L,10,10,2,8,1,6,8,0,1
ARMS_025_R,22,13,1,16,0,14,16,0,0
BurariTessenTorimonocho_002_L,13,4,0,11,0,6,8,0,0
BurariTessenTorimonocho_002_R,3,3,0,3,3,2,3,0,0
BurariTessenTorimonocho_003,14,26,0,13,7,4,14,0,0
BurariTessenTorimonocho_004_L,10,13,0,10,1,4,9,0,0
BurariTessenTorimonocho_004_R,8,8,0,8,0,3,6,1,0
EvaLady_002_L,6,13,1,5,1,4,6,0,0
EvaLady_002_R,11,3,0,10,0,3,8,0,1
EvaLady_003_L,3,15,2,3,5,5,4,0,0
EvaLady_003_R,8,2,0,8,2,4,8,0,0
Hamlet_009_L,16,11,0,11,1,8,13,0,1
Hamlet_009_R,12,14,0,12,2,6,10,0,1
Hamlet_010_L,9,7,0,6,1,5,7,0,2
Hamlet_010_R,5,9,0,3,3,2,3,0,1
Hamlet_011_L,6,8,0,4,3,4,6,0,1
Hamlet_011_R,10,9,0,7,1,10,9,0,0
MemorySeijin_015_L,5,9,0,3,0,4,2,0,0
MemorySeijin_015_R,4,8,0,3,4,1,3,0,0
MemorySeijin_016_L,0,6,0,0,1,0,1,0,0
MemorySeijin_016_R,0,3,0,0,0,0,0,0,0
MemorySeijin_017_L,3,13,2,3,6,2,5,0,0
MemorySeijin_017_R,7,20,0,2,6,4,4,0,0
