timestamp,label,cpu_percent,ram_used_mb,ram_percent,proc_ram_used_mb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_free_mb,gpu_mem_total_mb,gpu_temp_c,gpu_power_w
2026-04-15 11:02:16.257,yolo_start,0.0,1205.8,10.2,41.4,0,58.3,1989.7,2048.0,40,N/A
2026-04-15 11:02:16.765,EngineOCRFactory._setup_engine,35.1,1358.7,11.5,313.9,0,58.3,1989.7,2048.0,40,N/A
2026-04-15 11:02:17.273,EngineOCRFactory._setup_engine,12.7,1414.8,12.0,377.8,0,58.3,1989.7,2048.0,40,N/A
2026-04-15 11:02:17.790,EngineOCRFactory._setup_engine,12.2,1449.1,12.3,419.3,0,58.3,1989.7,2048.0,40,N/A
2026-04-15 11:02:18.302,EngineOCRFactory._setup_engine,13.2,1655.2,14.1,602.6,0,94.4,1953.6,2048.0,41,N/A
2026-04-15 11:02:18.803,EngineOCRFactory._run,8.9,1690.0,14.4,675.5,6,304.4,1743.6,2048.0,41,N/A
2026-04-15 11:02:19.304,EngineOCRFactory._run,6.0,1712.9,14.5,734.9,0,360.4,1687.6,2048.0,42,N/A
2026-04-15 11:02:19.805,EngineOCRFactory._run,10.0,1834.6,15.6,888.6,58,396.4,1651.6,2048.0,43,N/A
2026-04-15 11:02:20.306,EngineOCRFactory._run,12.3,1847.9,15.7,903.3,0,396.4,1651.6,2048.0,43,N/A
2026-04-15 11:02:20.808,EngineOCRFactory._run,1.5,1848.3,15.7,903.3,0,396.4,1651.6,2048.0,43,N/A
2026-04-15 11:02:21.310,EngineOCRFactory._run,2.0,1848.3,15.7,906.3,0,396.4,1651.6,2048.0,43,N/A
2026-04-15 11:02:21.815,EngineOCRFactory._run,12.7,2182.0,18.5,1232.8,0,396.4,1651.6,2048.0,43,N/A
2026-04-15 11:02:22.315,EngineOCRFactory._run,48.9,2193.8,18.6,1242.1,0,396.4,1651.6,2048.0,44,N/A
2026-04-15 11:02:22.816,EngineOCRFactory._run,27.7,2305.1,19.6,1761.0,0,396.4,1651.6,2048.0,43,N/A
2026-04-15 11:02:23.317,EngineOCRFactory._run,12.3,2301.5,19.5,1330.1,80,738.4,1309.6,2048.0,45,N/A
2026-04-15 11:02:23.823,MangaOCRExtractor.extract from ./tmp/yolo-1024-95pbt-5pbv-mx250/crops_AisazuNihaIrarenai_001_L/AisazuNihaIrarenai_001_L_bubble_001.png,16.0,2305.5,19.6,1335.4,26,738.4,1309.6,2048.0,45,N/A
2026-04-15 11:02:24.784,yolo_start,0.0,1266.0,10.8,41.4,11,58.3,1989.7,2048.0,45,N/A
2026-04-15 11:02:25.290,EngineOCRFactory._setup_engine,32.4,1410.2,12.0,314.1,0,58.3,1989.7,2048.0,45,N/A
2026-04-15 11:02:25.797,EngineOCRFactory._setup_engine,12.9,1470.4,12.5,378.0,0,58.3,1989.7,2048.0,45,N/A
2026-04-15 11:02:26.310,EngineOCRFactory._setup_engine,12.5,1503.9,12.8,420.1,0,58.3,1989.7,2048.0,46,N/A
2026-04-15 11:02:26.820,EngineOCRFactory._run,16.0,1731.8,14.7,642.7,1,156.4,1891.6,2048.0,46,N/A
2026-04-15 11:02:27.321,EngineOCRFactory._run,14.2,1892.8,16.1,893.5,61,432.4,1615.6,2048.0,48,N/A
2026-04-15 11:02:27.822,EngineOCRFactory._run,16.0,1898.4,16.1,899.5,0,432.4,1615.6,2048.0,47,N/A
2026-04-15 11:02:28.324,EngineOCRFactory._run,2.0,1898.7,16.1,902.2,0,432.4,1615.6,2048.0,47,N/A
2026-04-15 11:02:28.826,EngineOCRFactory._run,8.0,2040.3,17.3,1037.3,0,432.4,1615.6,2048.0,47,N/A
2026-04-15 11:02:29.326,EngineOCRFactory._run,30.8,2238.9,19.0,1236.0,0,432.4,1615.6,2048.0,47,N/A
2026-04-15 11:02:29.827,EngineOCRFactory._run,37.3,2286.0,19.4,1328.4,0,432.4,1615.6,2048.0,47,N/A
2026-04-15 11:02:30.328,EngineOCRFactory._run,21.4,2310.1,19.6,1331.4,14,512.4,1535.6,2048.0,47,N/A
2026-04-15 11:02:30.828,MangaOCRExtractor.extract from ./tmp/yolo-1024-95pbt-5pbv-mx250/crops_AisazuNihaIrarenai_002_L/AisazuNihaIrarenai_002_L_bubble_001.png,15.7,2310.7,19.6,1324.1,68,754.4,1293.6,2048.0,49,N/A
2026-04-15 11:02:31.329,MangaOCRExtractor.extract from ./tmp/yolo-1024-95pbt-5pbv-mx250/crops_AisazuNihaIrarenai_002_L/AisazuNihaIrarenai_002_L_bubble_004.png,18.2,2311.0,19.6,1324.2,82,754.4,1293.6,2048.0,50,N/A
2026-04-15 11:02:31.835,MangaOCRExtractor.extract from ./tmp/yolo-1024-95pbt-5pbv-mx250/crops_AisazuNihaIrarenai_002_R/AisazuNihaIrarenai_002_R_bubble_007.png,17.7,2311.0,19.6,1324.2,81,754.4,1293.6,2048.0,50,N/A
2026-04-15 11:02:32.335,MangaOCRExtractor.extract from ./tmp/yolo-1024-95pbt-5pbv-mx250/crops_AisazuNihaIrarenai_002_R/AisazuNihaIrarenai_002_R_bubble_009.png,16.8,2311.3,19.6,1324.2,81,754.4,1293.6,2048.0,51,N/A
2026-04-15 11:02:32.836,MangaOCRExtractor.extract from ./tmp/yolo-1024-95pbt-5pbv-mx250/crops_AisazuNihaIrarenai_002_R/AisazuNihaIrarenai_002_R_bubble_012.png,18.2,2311.3,19.6,1324.2,83,754.4,1293.6,2048.0,51,N/A
2026-04-15 11:02:33.337,MangaOCRExtractor.extract from ./tmp/yolo-1024-95pbt-5pbv-mx250/crops_AisazuNihaIrarenai_002_R/AisazuNihaIrarenai_002_R_bubble_014.png,16.3,2311.3,19.6,1324.2,69,754.4,1293.6,2048.0,52,N/A
2026-04-15 11:02:33.837,MangaOCRExtractor.extract from ./tmp/yolo-1024-95pbt-5pbv-mx250/crops_AisazuNihaIrarenai_002_R/AisazuNihaIrarenai_002_R_bubble_014.png,14.8,2311.3,19.6,1331.1,0,754.4,1293.6,2048.0,51,N/A
2026-04-15 11:02:34.338,Translating 考えてみればー,19.5,2343.3,19.9,1331.2,0,754.4,1293.6,2048.0,51,N/A
2026-04-15 11:02:34.838,Translating 考えてみればー,20.7,2463.6,20.9,1331.2,0,754.4,1293.6,2048.0,51,N/A
2026-04-15 11:02:35.339,Translating 考えてみればー,12.0,3097.5,26.3,1331.2,0,754.4,1293.6,2048.0,51,N/A
2026-04-15 11:02:35.840,Translating 考えてみればー,8.6,3522.9,29.9,1331.2,0,754.4,1293.6,2048.0,51,N/A
2026-04-15 11:02:36.340,Translating 考えてみればー,67.8,5645.4,47.9,1331.2,0,754.4,1293.6,2048.0,51,N/A
2026-04-15 11:02:36.841,Translating 考えてみればー,31.2,6385.5,54.2,1331.2,0,754.4,1293.6,2048.0,51,N/A
2026-04-15 11:02:37.342,Translating 考えてみればー,50.0,6385.5,54.2,1331.2,0,754.4,1293.6,2048.0,52,N/A
2026-04-15 11:02:37.842,Translating 考えてみればー,50.2,6385.5,54.2,1331.2,0,754.4,1293.6,2048.0,52,N/A
2026-04-15 11:02:38.343,Translating 考えてみればー,52.1,6379.4,54.2,1331.2,0,754.4,1293.6,2048.0,53,N/A
2026-04-15 11:02:38.844,Translating 考えてみればー,51.0,6378.9,54.2,1331.2,0,754.4,1293.6,2048.0,53,N/A
2026-04-15 11:02:39.345,Translating 考えてみればー,50.5,6379.6,54.2,1331.2,0,754.4,1293.6,2048.0,54,N/A
2026-04-15 11:02:39.846,Translating 考えてみればー,50.5,6387.6,54.2,1331.2,0,754.4,1293.6,2048.0,54,N/A
2026-04-15 11:02:40.346,Translating 考えてみればー,54.9,6402.0,54.4,1331.2,0,754.4,1293.6,2048.0,55,N/A
2026-04-15 11:02:40.847,Translating 考えてみればー,50.1,6402.2,54.4,1331.2,0,754.4,1293.6,2048.0,55,N/A
2026-04-15 11:02:41.348,Translating 電源ＩＮ,53.0,6423.9,54.6,1331.2,0,754.4,1293.6,2048.0,56,N/A
2026-04-15 11:02:41.849,Translating 電源ＩＮ,42.0,6441.9,54.7,1331.2,0,754.4,1293.6,2048.0,56,N/A
2026-04-15 11:02:42.350,Translating スイッチＯＮ,49.1,6455.9,54.8,1331.3,0,754.4,1293.6,2048.0,56,N/A
2026-04-15 11:02:42.850,Translating スイッチＯＮ,46.5,6463.1,54.9,1331.3,0,754.4,1293.6,2048.0,56,N/A
2026-04-15 11:02:43.351,Translating あいつよくひとりであそこまでやれるな,57.1,6468.2,54.9,1331.3,0,754.4,1293.6,2048.0,57,N/A
2026-04-15 11:02:43.852,Translating あいつよくひとりであそこまでやれるな,43.0,6476.5,55.0,1331.3,0,754.4,1293.6,2048.0,57,N/A
2026-04-15 11:02:44.353,Translating あいつよくひとりであそこまでやれるな,50.1,6478.6,55.0,1331.3,0,754.4,1293.6,2048.0,57,N/A
2026-04-15 11:02:44.854,Translating あいつよくひとりであそこまでやれるな,50.4,6484.1,55.1,1331.3,0,754.4,1293.6,2048.0,57,N/A
2026-04-15 11:02:45.355,Translating あいつよくひとりであそこまでやれるな,50.1,6484.0,55.1,1331.3,0,754.4,1293.6,2048.0,58,N/A
