timestamp,label,cpu_percent,ram_used_mb,ram_percent,proc_ram_used_mb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_free_mb,gpu_mem_total_mb,gpu_temp_c,gpu_power_w
2026-04-15 01:36:50.601,yolo_start,0.0,7753.1,32.4,43.1,17,5364.0,6924.0,12288.0,41,18.19
2026-04-15 01:36:51.121,EngineOCRFactory._setup_engine,26.0,7992.8,33.4,527.3,16,5373.0,6915.0,12288.0,41,18.369
2026-04-15 01:36:51.653,EngineOCRFactory._setup_engine,11.1,8039.0,33.6,568.5,54,5372.9,6915.1,12288.0,42,18.923
2026-04-15 01:36:52.156,EngineOCRFactory._setup_engine,10.1,8089.9,33.8,677.1,27,5372.0,6916.0,12288.0,42,19.624
2026-04-15 01:36:52.658,EngineOCRFactory._setup_engine,14.5,8172.9,34.2,843.0,25,5484.8,6803.2,12288.0,42,19.896
2026-04-15 01:36:53.159,EngineOCRFactory._run,12.5,8770.8,36.7,1513.2,19,5818.2,6469.8,12288.0,44,29.693
2026-04-15 01:36:53.660,EngineOCRFactory._run,21.3,8786.4,36.7,1533.4,9,5853.6,6434.4,12288.0,44,43.656
2026-04-15 01:36:54.160,EngineOCRFactory._run,4.3,8791.8,36.8,1537.4,5,5862.4,6425.6,12288.0,44,48.26
2026-04-15 01:36:54.661,EngineOCRFactory._run,8.8,9054.4,37.9,1786.9,4,5871.9,6416.1,12288.0,44,45.286
2026-04-15 01:36:55.161,EngineOCRFactory._run,31.5,9241.0,38.6,1966.9,4,5871.9,6416.1,12288.0,44,45.305
2026-04-15 01:36:55.662,EngineOCRFactory._run,16.9,9062.1,37.9,1764.7,10,6172.1,6115.9,12288.0,45,45.379
2026-04-15 01:36:56.780,yolo_start,0.0,7800.3,32.6,43.2,2,5434.2,6853.8,12288.0,45,46.514
2026-04-15 01:36:57.287,EngineOCRFactory._setup_engine,22.7,8036.9,33.6,527.1,2,5433.1,6854.9,12288.0,45,45.02
2026-04-15 01:36:57.826,EngineOCRFactory._setup_engine,15.5,8074.0,33.8,568.7,2,5429.2,6858.8,12288.0,45,44.903
2026-04-15 01:36:58.333,EngineOCRFactory._setup_engine,17.6,8139.5,34.0,676.2,7,5427.2,6860.8,12288.0,45,45.006
2026-04-15 01:36:58.848,EngineOCRFactory._setup_engine,25.4,8245.1,34.5,830.7,11,5472.7,6815.3,12288.0,45,45.887
2026-04-15 01:36:59.348,EngineOCRFactory._run,21.0,8873.2,37.1,1512.9,14,5846.9,6441.1,12288.0,45,41.342
2026-04-15 01:36:59.849,EngineOCRFactory._run,19.4,8937.3,37.4,1534.8,23,5845.1,6442.9,12288.0,46,44.326
2026-04-15 01:37:00.349,EngineOCRFactory._run,21.8,8970.3,37.5,1538.9,3,5861.8,6426.2,12288.0,45,49.052
2026-04-15 01:37:00.850,EngineOCRFactory._run,9.5,9255.0,38.7,1836.4,4,5861.6,6426.4,12288.0,45,46.638
2026-04-15 01:37:01.351,EngineOCRFactory._run,36.8,9390.2,39.3,1968.4,4,5861.4,6426.6,12288.0,45,45.517
2026-04-15 01:37:01.851,EngineOCRFactory._run,16.9,9275.7,38.8,1766.2,4,6159.6,6128.4,12288.0,45,45.46
2026-04-15 01:37:02.352,MangaOCRExtractor.extract from ./tmp-new-teste/yolo-1024-95pbt-5pbv/crops_AisazuNihaIrarenai_002_R/AisazuNihaIrarenai_002_R_bubble_008.png,15.8,9274.0,38.8,1766.4,40,6159.6,6128.4,12288.0,47,50.28
2026-04-15 01:37:02.853,MangaOCRExtractor.extract from ./tmp-new-teste/yolo-1024-95pbt-5pbv/crops_AisazuNihaIrarenai_002_R/AisazuNihaIrarenai_002_R_bubble_014.png,14.7,9277.9,38.8,1766.5,33,6158.8,6129.2,12288.0,48,61.521
2026-04-15 01:37:03.353,Translating 考えてみればー,12.5,9280.8,38.8,1773.6,26,6158.8,6129.2,12288.0,48,69.172
2026-04-15 01:37:03.854,Translating スイッチＯＮ,14.7,9294.1,38.9,1773.6,38,6158.8,6129.2,12288.0,50,59.701
2026-04-15 01:37:04.354,Translating あいつよくひとりであそこまでやれるな,13.3,9299.2,38.9,1773.6,3,6158.8,6129.2,12288.0,48,61.738
2026-04-15 01:37:04.855,Translating たけてるだけです！,14.0,9295.1,38.9,1773.6,51,6158.8,6129.2,12288.0,51,83.886
2026-04-15 01:37:05.355,Translating 若葉が最高に美しい季節,13.9,9296.4,38.9,1773.6,91,6141.6,6146.4,12288.0,55,91.284
2026-04-15 01:37:05.856,Translating 試運転といってみるかな,14.2,9306.7,38.9,1773.6,4,6141.6,6146.4,12288.0,50,93.58
2026-04-15 01:37:06.357,Translating パチンコでとった金は大きかった！！,13.3,9310.7,38.9,1773.7,93,6141.6,6146.4,12288.0,56,110.594
2026-04-15 01:37:06.857,Translating こういう季節ってするで感激しちゃうね！！,13.7,9323.1,39.0,1773.7,14,6141.6,6146.4,12288.0,54,99.371
2026-04-15 01:37:07.358,BubbleTypesetter._apply_cleaning,13.1,9305.6,38.9,1803.1,74,6141.6,6146.4,12288.0,56,111.957
2026-04-15 01:37:07.858,BubbleTypesetter._apply_cleaning,11.5,9307.4,38.9,1809.9,4,6141.6,6146.4,12288.0,52,110.516
2026-04-15 01:37:08.359,BubbleTypesetter._apply_cleaning,11.0,9302.8,38.9,1810.0,4,6141.6,6146.4,12288.0,50,87.82
2026-04-15 01:37:08.859,BubbleTypesetter._apply_cleaning,10.8,9302.7,38.9,1810.0,4,6141.6,6146.4,12288.0,49,55.073
2026-04-15 01:37:09.871,yolo_start,100.0,7965.9,33.3,43.1,4,5409.9,6878.1,12288.0,48,48.535
2026-04-15 01:37:10.380,EngineOCRFactory._setup_engine,25.3,8185.5,34.2,523.5,4,5412.2,6875.8,12288.0,48,47.759
2026-04-15 01:37:10.928,EngineOCRFactory._setup_engine,10.7,8232.7,34.4,568.5,3,5412.2,6875.8,12288.0,47,46.295
2026-04-15 01:37:11.431,EngineOCRFactory._setup_engine,10.6,8283.5,34.6,677.3,5,5412.2,6875.8,12288.0,47,46.022
2026-04-15 01:37:11.933,EngineOCRFactory._run,12.9,8401.8,35.1,877.4,4,5595.4,6692.6,12288.0,47,45.916
2026-04-15 01:37:12.434,EngineOCRFactory._run,12.4,8953.8,37.4,1513.7,17,5892.3,6395.7,12288.0,47,46.266
2026-04-15 01:37:12.934,EngineOCRFactory._run,8.0,8963.3,37.5,1532.8,21,5892.3,6395.7,12288.0,49,49.771
2026-04-15 01:37:13.435,EngineOCRFactory._run,3.3,8972.4,37.5,1537.1,5,5891.6,6396.4,12288.0,47,49.809
2026-04-15 01:37:13.935,EngineOCRFactory._run,9.3,9306.7,38.9,1874.0,4,5891.6,6396.4,12288.0,47,47.087
